,custody_type,race,death_type,age
800,0,3,5,44.0
801,2,3,5,50.0
802,0,1,5,44.0
803,3,3,3,31.0
804,0,3,5,54.0
805,2,3,5,47.0
806,2,1,5,54.0
807,2,3,5,59.0
808,2,3,5,61.0
809,2,3,5,55.0
810,3,1,3,28.0
811,3,1,3,23.0
812,3,1,3,38.0
813,2,4,5,60.0
814,2,3,5,32.0
815,2,1,5,52.0
816,2,3,5,35.0
817,2,3,5,54.0
818,2,3,5,68.0
819,2,3,5,64.0
820,2,1,5,53.0
821,0,3,1,56.0
822,2,3,5,55.0
823,0,1,5,63.0
824,2,1,5,58.0
825,2,1,5,55.0
826,2,3,5,60.0
827,2,1,5,58.0
828,3,3,7,37.0
829,2,3,5,48.0
830,2,3,5,50.0
831,3,3,2,50.0
832,2,1,5,44.0
833,2,1,5,61.0
834,2,3,5,52.0
835,3,3,1,36.0
836,2,3,5,62.0
837,2,3,5,46.0
838,3,3,2,40.0
839,0,1,7,39.0
840,0,3,5,58.0
841,0,3,7,27.0
842,2,3,5,42.0
843,0,4,5,69.0
844,2,3,7,41.0
845,3,3,5,49.0
846,0,4,7,47.0
847,2,4,5,76.0
848,2,3,5,37.0
849,1,3,5,39.0
850,3,4,3,45.0
851,2,2,5,54.0
852,2,4,5,50.0
853,3,4,2,36.0
854,0,4,1,30.0
855,3,4,7,36.0
856,2,4,5,53.0
857,2,3,5,62.0
858,2,4,5,60.0
859,2,4,5,56.0
860,0,3,5,40.0
861,2,4,4,33.0
862,2,4,5,62.0
863,3,4,7,24.0
864,2,4,5,42.0
865,0,4,5,42.0
866,2,3,5,35.0
867,0,3,5,38.0
868,3,3,3,22.0
869,2,3,5,54.0
870,3,4,4,40.0
871,1,3,2,33.0
872,0,3,5,33.0
873,0,1,5,53.0
874,2,4,5,46.0
875,1,3,2,35.0
876,2,4,5,49.0
877,2,3,5,41.0
878,2,1,5,56.0
879,2,3,5,44.0
880,2,1,5,54.0
881,2,3,5,36.0
882,2,1,5,67.0
883,0,3,5,43.0
884,2,1,6,30.0
885,3,1,2,26.0
886,2,1,5,80.0
887,3,1,3,31.0
888,0,4,5,67.0
889,3,1,3,31.0
890,3,1,7,28.0
891,2,4,5,61.0
892,3,4,7,23.0
893,0,1,5,58.0
894,2,1,5,49.0
895,2,3,5,27.0
896,0,3,5,35.0
897,2,3,5,57.0
898,2,4,5,47.0
899,2,4,5,54.0
900,0,4,2,23.0
901,3,3,1,34.0
902,3,3,5,57.0
903,3,3,3,34.0
904,2,3,7,42.0
905,1,3,2,24.0
906,2,3,5,50.0
907,3,3,3,29.0
908,2,3,5,47.0
909,2,4,5,61.0
910,3,4,3,24.0
911,2,4,5,48.0
912,0,4,2,33.0
913,3,4,3,27.0
914,3,4,3,25.0
915,3,4,7,54.0
916,2,4,7,27.0
917,2,4,5,50.0
918,2,4,7,27.0
919,2,4,5,64.0
920,2,4,5,48.0
921,0,1,7,17.0
922,0,1,2,22.0
923,3,1,1,33.0
924,3,1,3,20.0
925,3,4,3,20.0
926,1,1,7,26.0
927,2,3,5,42.0
928,2,1,5,42.0
929,0,1,5,47.0
930,0,1,1,32.0
931,3,1,2,27.0
932,3,3,3,32.0
933,2,1,5,63.0
934,2,1,5,40.0
935,2,3,5,69.0
936,0,4,6,25.0
937,2,1,5,80.0
938,0,1,5,54.0
939,2,1,5,49.0
940,2,3,5,61.0
941,3,3,7,22.0
942,2,3,5,55.0
943,2,1,5,77.0
944,2,1,5,38.0
945,3,1,5,32.0
946,2,1,7,31.0
947,2,1,5,82.0
948,2,3,5,49.0
949,2,1,5,67.0
950,2,1,5,61.0
951,2,1,5,52.0
952,3,1,2,42.0
953,2,1,5,66.0
954,2,3,5,67.0
955,2,1,5,65.0
956,2,3,5,59.0
957,2,3,5,47.0
958,3,1,3,58.0
959,2,1,1,53.0
960,0,1,7,40.0
961,2,3,5,63.0
962,2,1,5,58.0
963,2,1,5,61.0
964,2,1,5,68.0
965,2,1,5,58.0
966,2,1,5,53.0
967,2,1,5,50.0
968,2,1,5,52.0
969,0,3,5,56.0
970,2,1,5,60.0
971,0,3,5,45.0
972,2,1,5,69.0
973,2,3,5,52.0
974,2,3,5,63.0
975,2,3,5,67.0
976,2,1,5,63.0
977,3,3,3,53.0
978,2,1,5,60.0
979,2,1,5,51.0
980,2,1,5,87.0
981,2,3,5,61.0
982,2,1,5,60.0
983,2,3,5,59.0
984,2,1,5,66.0
985,0,1,2,38.0
986,2,1,5,70.0
987,2,1,5,71.0
988,2,1,5,77.0
989,2,1,5,60.0
990,2,3,5,62.0
991,0,4,7,47.0
992,2,1,7,39.0
993,0,1,5,47.0
994,2,3,5,40.0
995,2,3,5,82.0
996,2,1,5,63.0
997,3,3,2,35.0
998,2,1,5,64.0
999,2,1,5,54.0
1000,2,1,5,74.0
1001,2,1,5,60.0
1002,2,3,5,58.0
1003,3,1,3,49.0
1004,2,1,7,20.0
1005,0,1,5,42.0
1006,2,3,5,58.0
1007,2,3,7,49.0
1008,2,3,5,60.0
1009,2,1,5,67.0
1010,3,4,3,38.0
1011,2,1,5,66.0
1012,2,1,5,67.0
1013,3,1,3,59.0
1014,2,1,5,56.0
1015,2,4,5,60.0
1016,2,1,5,56.0
1017,2,1,7,45.0
1018,2,1,5,54.0
1019,3,3,3,33.0
1020,2,1,5,48.0
1021,2,4,5,52.0
1022,2,3,5,50.0
1023,3,1,7,38.0
1024,2,3,5,62.0
1025,2,3,5,74.0
1026,2,1,5,62.0
1027,2,1,5,62.0
1028,2,1,5,69.0
1029,0,1,1,47.0
1030,2,1,5,48.0
1031,2,3,5,40.0
1032,0,3,5,58.0
1033,2,3,5,66.0
1034,3,1,3,42.0
1035,2,3,5,45.0
1036,2,3,5,59.0
1037,2,1,5,53.0
1038,2,1,5,55.0
1039,2,3,5,45.0
1040,2,1,5,57.0
1041,2,1,5,78.0
1042,2,1,5,70.0
1043,2,3,5,46.0
1044,2,1,5,63.0
1045,2,1,5,62.0
1046,2,3,7,43.0
1047,2,1,5,51.0
1048,2,3,5,52.0
1049,2,4,7,24.0
1050,2,1,5,68.0
1051,2,3,5,30.0
1052,2,3,5,65.0
1053,1,1,7,53.0
1054,2,1,5,54.0
1055,1,1,7,18.0
1056,2,3,5,31.0
1057,2,3,5,80.0
1058,3,1,3,23.0
1059,2,3,5,41.0
1060,0,1,6,48.0
1061,2,1,5,48.0
1062,2,1,5,55.0
1063,2,3,5,57.0
1064,3,1,7,54.0
1065,0,3,5,57.0
1066,2,1,5,42.0
1067,2,1,5,52.0
1068,2,1,7,31.0
1069,3,3,3,24.0
1070,2,3,6,30.0
1071,2,1,6,68.0
1072,2,1,5,55.0
1073,3,3,3,19.0
1074,2,3,5,57.0
1075,2,4,5,40.0
1076,0,4,7,25.0
1077,1,1,7,40.0
1078,2,4,5,91.0
1079,2,4,5,56.0
1080,0,1,5,45.0
1081,2,3,5,36.0
1082,3,1,7,32.0
1083,2,1,5,46.0
1084,3,1,7,42.0
1085,0,1,7,19.0
1086,2,1,7,48.0
1087,3,1,3,34.0
1088,2,1,7,30.0
1089,2,1,7,22.0
1090,3,1,3,26.0
1091,0,3,5,37.0
1092,2,3,5,33.0
1093,3,4,3,30.0
1094,2,1,5,54.0
1095,3,3,3,29.0
1096,2,1,4,37.0
1097,3,1,3,34.0
1098,3,3,3,41.0
1099,2,1,7,20.0
1100,2,3,5,56.0
1101,3,2,3,32.0
1102,2,1,7,49.0
1103,3,4,3,19.0
1104,1,1,1,35.0
1105,0,1,7,37.0
1106,1,1,2,28.0
1107,3,1,2,38.0
1108,2,3,1,30.0
1109,2,1,5,47.0
1110,3,1,3,29.0
1111,2,3,5,38.0
1112,2,3,7,34.0
1113,2,3,5,47.0
1114,0,1,7,27.0
1115,0,3,5,32.0
1116,0,3,7,26.0
1117,2,1,5,44.0
1118,3,1,3,26.0
1119,3,3,2,33.0
1120,2,1,5,25.0
1121,3,1,3,59.0
1122,3,3,3,30.0
1123,0,1,5,34.0
1124,2,4,5,42.0
1125,0,4,2,24.0
1126,0,1,7,33.0
1127,2,1,5,40.0
1128,3,1,3,31.0
1129,0,1,5,43.0
1130,1,1,7,25.0
1131,2,1,2,31.0
1132,2,3,5,46.0
1133,0,1,7,29.0
1134,0,3,5,27.0
1135,2,1,7,34.0
1136,3,1,3,26.0
1137,2,4,5,33.0
1138,3,4,1,28.0
1139,0,3,5,46.0
1140,2,3,5,47.0
1141,2,1,5,60.0
1142,2,1,5,29.0
1143,2,1,5,48.0
1144,3,1,3,42.0
1145,3,3,3,20.0
1146,0,1,5,54.0
